strategy,symbol,side,entry_time,entry_px,sl_px,tp_px,atr,exit_time,exit_px,outcome,pnl_pct,pnl_usd,score,passed,session,in_killzone,adx,rsi,vol_expand
COMBINED,ETHUSDT,SHORT,2024-08-15 20:00:00+00:00,2549.31,2587.1576,2454.691,31.5397,2024-08-15 22:00:00+00:00,2587.1576,LOSS,-1.485,-15.0,62,6,LATE,False,26.6,35.8,False
COMBINED,ETHUSDT,SHORT,2024-08-16 16:00:00+00:00,2568.91,2604.7633,2479.2768,29.8777,2024-08-16 17:00:00+00:00,2604.7633,LOSS,-1.396,-15.0,52,5,US,False,19.3,47.6,True
COMBINED,ETHUSDT,SHORT,2024-08-18 10:00:00+00:00,2645.35,2666.1947,2593.2382,17.3706,2024-08-18 12:00:00+00:00,2666.1947,LOSS,-0.788,-15.0,62,6,EUROPE,False,20.6,66.5,True
COMBINED,ETHUSDT,SHORT,2024-08-18 13:00:00+00:00,2666.81,2689.6937,2609.6007,19.0698,2024-08-19 00:00:00+00:00,2609.6007,WIN,2.145,37.5,62,6,LATE,False,29.2,40.1,True
COMBINED,ETHUSDT,SHORT,2024-08-19 10:00:00+00:00,2580.2,2605.4561,2517.0599,21.0467,2024-08-19 17:00:00+00:00,2605.4561,LOSS,-0.979,-15.0,62,6,US,False,30.4,39.1,False
COMBINED,ETHUSDT,SHORT,2024-08-19 18:00:00+00:00,2606.81,2634.3592,2537.937,22.9577,2024-08-19 23:00:00+00:00,2634.3592,LOSS,-1.057,-15.0,44,4,LATE,False,21.5,55.5,False
COMBINED,ETHUSDT,SHORT,2024-08-20 01:00:00+00:00,2659.1,2687.0323,2589.2692,23.2769,2024-08-20 05:00:00+00:00,2687.0323,LOSS,-1.05,-15.0,64,6,ASIA,False,27.1,67.3,False
COMBINED,ETHUSDT,SHORT,2024-08-20 06:00:00+00:00,2684.1,2710.6319,2617.7702,22.1099,2024-08-20 14:00:00+00:00,2617.7702,WIN,2.471,37.5,72,7,US,True,28.1,51.9,True
COMBINED,ETHUSDT,SHORT,2024-08-20 14:00:00+00:00,2645.62,2668.6036,2588.1611,19.153,2024-08-20 15:00:00+00:00,2588.1611,WIN,2.172,37.5,72,7,US,True,27.9,32.0,True
COMBINED,ETHUSDT,SHORT,2024-08-20 15:00:00+00:00,2585.35,2612.025,2518.6624,22.2292,2024-08-21 14:00:00+00:00,2612.025,LOSS,-1.032,-15.0,82,8,US,True,29.6,48.9,True
COMBINED,ETHUSDT,SHORT,2024-08-21 14:00:00+00:00,2594.0,2618.5896,2532.5259,20.4914,2024-08-21 17:00:00+00:00,2618.5896,LOSS,-0.948,-15.0,62,6,US,False,29.8,55.4,False
COMBINED,ETHUSDT,SHORT,2024-08-21 19:00:00+00:00,2638.92,2666.1676,2570.8011,22.7063,2024-08-23 05:00:00+00:00,2666.1676,LOSS,-1.033,-15.0,34,3,ASIA,False,16.8,59.4,False
COMBINED,ETHUSDT,SHORT,2024-08-23 16:00:00+00:00,2670.81,2696.0845,2607.6238,21.0621,2024-08-23 17:00:00+00:00,2696.0845,LOSS,-0.946,-15.0,32,3,US,False,32.3,62.0,False
COMBINED,ETHUSDT,SHORT,2024-08-24 17:00:00+00:00,2814.23,2838.5503,2753.4293,20.2669,2024-08-24 21:00:00+00:00,2753.4293,WIN,2.16,37.5,48,5,US,False,54.9,64.0,False
COMBINED,ETHUSDT,SHORT,2024-08-26 15:00:00+00:00,2725.41,2746.6468,2672.3181,17.6973,2024-08-26 20:00:00+00:00,2672.3181,WIN,1.948,37.5,50,5,US,False,35.6,24.6,False
COMBINED,ETHUSDT,SHORT,2024-08-27 16:00:00+00:00,2579.0,2606.6769,2509.8078,23.0641,2024-08-27 21:00:00+00:00,2509.8078,WIN,2.683,37.5,62,6,US,False,66.0,25.0,False
COMBINED,ETHUSDT,SHORT,2024-08-27 22:00:00+00:00,2490.41,2529.879,2391.7375,32.8908,2024-08-28 09:00:00+00:00,2529.879,LOSS,-1.585,-15.0,64,6,EUROPE,True,72.7,31.4,False
COMBINED,ETHUSDT,SHORT,2024-08-29 19:00:00+00:00,2520.6,2552.9669,2439.6828,26.9724,2024-08-30 12:00:00+00:00,2552.9669,LOSS,-1.284,-15.0,70,7,EUROPE,False,22.6,42.7,False
