tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
30m,XRP/USDT,LONG,10,9,2,0,2.0924,2.0725,2.1163,2.1322,0.951,56.7,False,RANGING,2026-01-04 20:30:00+00:00,2026-01-05 01:00:00+00:00,2.1322,TP2,True,WIN,16.01
30m,XRP/USDT,LONG,9,8,2,0,2.1444,2.0725,2.2307,2.2882,3.353,68.4,False,TRENDING,2026-01-05 02:30:00+00:00,2026-01-05 20:00:00+00:00,2.2882,TP2,True,WIN,16.0
30m,XRP/USDT,LONG,11,8,2,2,2.3164,2.1121,2.5616,2.725,8.82,87.6,False,VOLATILE,2026-01-05 20:30:00+00:00,2026-01-07 21:30:00+00:00,2.179,TIMEOUT,False,LOSS,-6.73
30m,XRP/USDT,LONG,11,7,2,2,2.1064,2.0534,2.17,2.2124,2.516,65.6,False,RANGING,2026-01-13 18:30:00+00:00,2026-01-15 02:30:00+00:00,2.1064,SL_BE,True,WIN,6.0
30m,XRP/USDT,LONG,8,3,1,4,2.105,2.0905,2.1224,2.1341,0.691,38.8,False,RANGING,2026-01-15 02:30:00+00:00,2026-01-15 03:30:00+00:00,2.0905,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,8,1,2,4,2.1043,2.0824,2.1306,2.1481,1.041,38.7,True,TRENDING,2026-01-15 08:30:00+00:00,2026-01-15 14:30:00+00:00,2.1043,SL_BE,True,WIN,6.0
30m,XRP/USDT,LONG,12,8,4,0,2.0971,2.0853,2.1113,2.1208,0.565,53.0,True,RANGING,2026-01-15 14:30:00+00:00,2026-01-15 15:30:00+00:00,2.0853,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,7,2,0,2.0701,2.1326,1.9951,1.9451,3.019,35.7,False,TRENDING,2026-01-15 18:30:00+00:00,2026-01-17 19:30:00+00:00,2.0734,TIMEOUT,False,LOSS,-0.53
30m,XRP/USDT,SHORT,10,9,2,0,2.0598,2.0833,2.0316,2.0128,1.141,44.5,False,RANGING,2026-01-18 00:30:00+00:00,2026-01-18 23:30:00+00:00,2.0128,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,9,8,2,0,1.9454,2.0658,1.8009,1.7046,6.189,11.6,False,VOLATILE,2026-01-19 00:30:00+00:00,2026-01-21 01:30:00+00:00,1.8985,TIMEOUT,False,WIN,3.9
30m,XRP/USDT,SHORT,8,9,0,0,1.8969,1.9275,1.8602,1.8357,1.613,42.8,False,RANGING,2026-01-21 02:30:00+00:00,2026-01-21 14:00:00+00:00,1.9275,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,9,5,1,2,1.9428,1.9569,1.9259,1.9146,0.726,60.5,True,RANGING,2026-01-21 14:30:00+00:00,2026-01-21 15:30:00+00:00,1.9569,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,9,3,2,4,1.9733,1.9974,1.9444,1.9252,1.22,60.4,False,VOLATILE,2026-01-21 20:30:00+00:00,2026-01-22 14:00:00+00:00,1.9252,TP2,True,WIN,15.98
30m,XRP/USDT,SHORT,10,8,2,0,1.916,1.9644,1.8579,1.8192,2.526,35.5,True,RANGING,2026-01-22 14:30:00+00:00,2026-01-23 17:30:00+00:00,1.9644,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,5,3,0,1.9193,1.9655,1.8639,1.8269,2.407,47.8,False,RANGING,2026-01-24 00:30:00+00:00,2026-01-25 18:30:00+00:00,1.8269,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,11,8,2,2,1.8364,1.9123,1.7453,1.6846,4.133,22.5,False,VOLATILE,2026-01-25 18:30:00+00:00,2026-01-26 13:00:00+00:00,1.9123,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,10,8,3,0,1.8851,1.9179,1.8457,1.8195,1.74,43.5,False,RANGING,2026-01-27 12:30:00+00:00,2026-01-27 20:00:00+00:00,1.9179,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,7,2,0,1.8787,1.9325,1.8141,1.7711,2.864,27.7,False,TRENDING,2026-01-29 04:30:00+00:00,2026-01-30 01:30:00+00:00,1.7711,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,11,8,2,2,1.7478,1.8434,1.6331,1.5566,5.47,21.1,False,VOLATILE,2026-01-30 02:30:00+00:00,2026-01-31 17:00:00+00:00,1.5566,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,9,8,2,0,1.5849,1.7224,1.4199,1.3099,8.676,14.6,False,VOLATILE,2026-01-31 18:30:00+00:00,2026-02-02 19:30:00+00:00,1.6257,TIMEOUT,False,LOSS,-2.97
30m,XRP/USDT,SHORT,12,10,3,0,1.6186,1.6569,1.5726,1.542,2.366,46.1,False,RANGING,2026-02-03 00:30:00+00:00,2026-02-03 18:00:00+00:00,1.542,TP2,True,WIN,16.01
30m,XRP/USDT,SHORT,9,8,2,0,1.5314,1.6257,1.4182,1.3428,6.158,29.4,False,TRENDING,2026-02-03 18:30:00+00:00,2026-02-03 20:30:00+00:00,1.6257,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,7,2,0,1.6187,1.6393,1.594,1.5775,1.271,51.2,False,VOLATILE,2026-02-03 20:30:00+00:00,2026-02-03 23:00:00+00:00,1.5775,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,11,7,2,2,1.5855,1.6341,1.5272,1.4883,3.065,47.4,False,RANGING,2026-02-04 02:30:00+00:00,2026-02-05 01:00:00+00:00,1.4883,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,11,8,2,2,1.4533,1.5574,1.3284,1.2451,7.163,29.9,False,TRENDING,2026-02-05 02:30:00+00:00,2026-02-05 17:00:00+00:00,1.2451,TP2,True,WIN,16.0
30m,XRP/USDT,SHORT,10,8,3,0,1.2613,1.4449,1.041,0.8941,14.556,18.3,False,TRENDING,2026-02-05 18:30:00+00:00,2026-02-06 14:30:00+00:00,1.4449,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,8,0,5,2,1.4538,1.41,1.5064,1.5414,3.013,60.6,True,RANGING,2026-02-08 08:30:00+00:00,2026-02-09 08:30:00+00:00,1.41,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,11,7,2,2,1.3832,1.4553,1.2967,1.239,5.213,26.9,False,RANGING,2026-02-09 10:30:00+00:00,2026-02-09 16:30:00+00:00,1.4553,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,7,2,0,1.416,1.4533,1.3712,1.3414,2.634,41.7,False,RANGING,2026-02-10 10:30:00+00:00,2026-02-12 11:30:00+00:00,1.4018,TIMEOUT,True,WIN,7.91
30m,XRP/USDT,SHORT,11,10,2,0,1.353,1.4081,1.2869,1.2428,4.072,33.1,False,RANGING,2026-02-12 16:30:00+00:00,2026-02-13 15:30:00+00:00,1.4081,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,10,8,3,0,1.5008,1.4518,1.5596,1.5988,3.265,69.7,False,TRENDING,2026-02-14 22:30:00+00:00,2026-02-15 07:00:00+00:00,1.5988,TP2,True,WIN,16.0
30m,XRP/USDT,LONG,10,8,2,0,1.6163,1.4937,1.7634,1.8615,7.585,91.5,True,VOLATILE,2026-02-15 08:30:00+00:00,2026-02-15 17:30:00+00:00,1.4937,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,10,3,4,2,1.4702,1.4486,1.4961,1.5134,1.469,47.6,True,RANGING,2026-02-16 08:30:00+00:00,2026-02-16 11:00:00+00:00,1.4702,SL_BE,True,WIN,6.0
30m,XRP/USDT,LONG,11,8,2,2,1.505,1.4486,1.5727,1.6178,3.748,58.7,False,RANGING,2026-02-16 12:30:00+00:00,2026-02-17 14:30:00+00:00,1.4486,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,10,7,0,2,1.4353,1.4889,1.371,1.3281,3.734,35.5,True,TRENDING,2026-02-17 14:30:00+00:00,2026-02-17 16:30:00+00:00,1.4889,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,10,7,3,0,1.4896,1.4633,1.5212,1.5422,1.766,63.1,True,RANGING,2026-02-18 08:30:00+00:00,2026-02-18 12:30:00+00:00,1.4633,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,10,8,3,0,1.4408,1.4939,1.3771,1.3346,3.685,34.8,False,RANGING,2026-02-18 18:30:00+00:00,2026-02-20 19:30:00+00:00,1.4239,TIMEOUT,False,WIN,3.18
30m,XRP/USDT,LONG,8,6,2,0,1.4341,1.4177,1.4538,1.4669,1.144,54.9,True,RANGING,2026-02-21 08:30:00+00:00,2026-02-21 22:30:00+00:00,1.4341,SL_BE,True,WIN,6.01
30m,XRP/USDT,LONG,8,7,2,0,1.4324,1.4259,1.4402,1.4454,0.455,46.2,False,RANGING,2026-02-21 22:30:00+00:00,2026-02-22 00:30:00+00:00,1.4259,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,8,1,3,4,1.4273,1.4209,1.435,1.4401,0.45,39.3,False,RANGING,2026-02-22 00:30:00+00:00,2026-02-22 03:00:00+00:00,1.4209,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,9,7,3,0,1.4233,1.4439,1.3986,1.3821,1.447,35.7,False,TRENDING,2026-02-22 06:30:00+00:00,2026-02-22 20:00:00+00:00,1.3821,TP2,True,WIN,16.0
